,count,mean,std,min,25%,50%,75%,max
credit_score,931749.0,752.6639899801341,169.0237306757938,300.0,720.0,758.0,786.0,9999.0
mortgage_insurance_percentage,931749.0,10.190018985799824,13.338018631662017,0.0,0.0,0.0,25.0,38.0
number_of_units,931749.0,1.0289938599343815,0.2179540593076416,1.0,1.0,1.0,1.0,4.0
original_cltv,931749.0,75.90156254527776,19.444537586655716,1.0,67.0,80.0,92.0,184.0
original_dti_ratio,931749.0,38.16514318770398,11.27061867579782,1.0,32.0,40.0,46.0,999.0
original_upb,931749.0,312762.3963105944,174229.42631872118,12000.0,182000.0,276000.0,409000.0,2212000.0
original_ltv,931749.0,75.68473161763522,19.3314430702888,1.0,67.0,80.0,92.0,184.0
original_interest_rate,931749.0,6.728216610911308,0.6916690460598841,2.25,6.25,6.75,7.25,9.75
original_loan_term,931749.0,349.51144138603854,41.39191517905213,85.0,360.0,360.0,360.0,360.0
number_of_borrowers,931749.0,1.4649621303591418,0.5397332801961772,1.0,1.0,1.0,2.0,5.0
observation_months,931749.0,24.43981158015732,5.926219846350279,1.0,22.0,26.0,28.0,33.0
max_delinquency_status,931749.0,0.18972598843680005,1.0498004783688,0.0,0.0,0.0,0.0,31.0
