feature_1,feature_2,spearman_correlation,absolute_spearman_correlation
original_cltv,original_ltv,0.99,0.99
mortgage_insurance_percentage,original_ltv,0.86,0.86
mortgage_insurance_percentage,original_cltv,0.85,0.85
original_interest_rate,observation_months,-0.49,0.49
original_upb,original_ltv,0.22,0.22
original_ltv,original_loan_term,0.22,0.22
original_cltv,original_loan_term,0.22,0.22
original_cltv,original_upb,0.22,0.22
original_upb,number_of_borrowers,0.21,0.21
credit_score,max_delinquency_status,-0.19,0.19
original_interest_rate,original_loan_term,0.18,0.18
mortgage_insurance_percentage,original_loan_term,0.17,0.17
mortgage_insurance_percentage,original_upb,0.16,0.16
credit_score,original_dti_ratio,-0.15,0.15
original_dti_ratio,original_upb,0.14,0.14
credit_score,original_upb,0.13,0.13
original_upb,original_loan_term,0.13,0.13
original_cltv,original_dti_ratio,0.12,0.12
original_dti_ratio,original_ltv,0.12,0.12
original_dti_ratio,original_loan_term,0.12,0.12
credit_score,original_interest_rate,-0.12,0.12
credit_score,mortgage_insurance_percentage,-0.1,0.1
credit_score,original_ltv,-0.1,0.1
original_ltv,observation_months,0.1,0.1
credit_score,original_cltv,-0.1,0.1
mortgage_insurance_percentage,original_dti_ratio,0.1,0.1
credit_score,number_of_borrowers,-0.09,0.09
original_cltv,observation_months,0.09,0.09
mortgage_insurance_percentage,observation_months,0.08,0.08
mortgage_insurance_percentage,number_of_units,-0.08,0.08
original_dti_ratio,max_delinquency_status,0.07,0.07
number_of_units,original_cltv,-0.06,0.06
number_of_units,original_ltv,-0.06,0.06
original_cltv,original_interest_rate,0.06,0.06
number_of_borrowers,max_delinquency_status,-0.06,0.06
original_dti_ratio,number_of_borrowers,-0.06,0.06
original_ltv,original_interest_rate,0.06,0.06
number_of_units,original_interest_rate,0.06,0.06
max_delinquency_status,observation_months,0.05,0.05
original_upb,original_interest_rate,-0.05,0.05
original_dti_ratio,original_interest_rate,0.05,0.05
original_cltv,max_delinquency_status,0.04,0.04
credit_score,observation_months,-0.04,0.04
original_interest_rate,number_of_borrowers,0.04,0.04
original_upb,max_delinquency_status,-0.04,0.04
original_interest_rate,max_delinquency_status,0.03,0.03
mortgage_insurance_percentage,original_interest_rate,0.03,0.03
number_of_units,number_of_borrowers,-0.03,0.03
original_ltv,max_delinquency_status,0.03,0.03
mortgage_insurance_percentage,max_delinquency_status,0.03,0.03
original_dti_ratio,observation_months,-0.03,0.03
number_of_units,original_dti_ratio,0.02,0.02
original_ltv,number_of_borrowers,-0.02,0.02
original_cltv,number_of_borrowers,-0.02,0.02
credit_score,number_of_units,-0.01,0.01
number_of_units,max_delinquency_status,0.01,0.01
number_of_units,original_loan_term,0.01,0.01
original_upb,observation_months,0.01,0.01
number_of_borrowers,observation_months,-0.01,0.01
original_loan_term,max_delinquency_status,0.01,0.01
mortgage_insurance_percentage,number_of_borrowers,0.0,0.0
credit_score,original_loan_term,0.0,0.0
number_of_units,observation_months,0.0,0.0
number_of_units,original_upb,0.0,0.0
original_loan_term,number_of_borrowers,0.0,0.0
original_loan_term,observation_months,0.0,0.0
