threshold,approval_rate,decline_rate,precision,recall_bad_loan_capture_rate,f1_score,false_positive_rate,true_positive,false_positive,true_negative,false_negative
0.001,0.0,1.0,0.0186,1.0,0.0364,1.0,3458,182892,0,0
0.002,0.0,1.0,0.0186,1.0,0.0364,1.0,3458,182892,0,0
0.003,0.0,1.0,0.0186,1.0,0.0364,1.0,3458,182892,0,0
0.004,0.2126,0.7874,0.0232,0.9855,0.0454,0.7837,3408,143329,39563,50
0.005,0.3808,0.6192,0.0287,0.9586,0.0558,0.6128,3315,112077,70815,143
0.006,0.4695,0.5305,0.0325,0.9294,0.0628,0.523,3214,95651,87241,244
0.007,0.529,0.471,0.0357,0.9066,0.0687,0.4628,3135,84635,98257,323
0.008,0.5727,0.4273,0.0384,0.8837,0.0736,0.4187,3056,76571,106321,402
0.009,0.6069,0.3931,0.0408,0.8644,0.0779,0.3842,2989,70267,112625,469
0.01,0.6337,0.3663,0.0428,0.8453,0.0815,0.3572,2923,65330,117562,535
0.011,0.6568,0.3432,0.0448,0.8279,0.0849,0.3341,2863,61098,121794,595
0.012,0.6764,0.3236,0.0466,0.812,0.0881,0.3144,2808,57498,125394,650
0.013,0.6934,0.3066,0.0482,0.797,0.091,0.2973,2756,54376,128516,702
0.014,0.7084,0.2916,0.0496,0.7796,0.0933,0.2824,2696,51650,131242,762
0.015,0.7221,0.2779,0.051,0.7634,0.0956,0.2687,2640,49151,133741,818
0.016,0.7349,0.2651,0.0524,0.7487,0.0979,0.256,2589,46821,136071,869
0.017,0.7458,0.2542,0.0537,0.7357,0.1001,0.2451,2544,44821,138071,914
0.018,0.7558,0.2442,0.0551,0.7256,0.1025,0.2351,2509,42989,139903,949
0.019,0.7651,0.2349,0.0564,0.7143,0.1046,0.2258,2470,41295,141597,988
0.02,0.7739,0.2261,0.0575,0.7001,0.1062,0.2171,2421,39711,143181,1037
0.021,0.7822,0.2178,0.0587,0.6888,0.1082,0.2089,2382,38208,144684,1076
0.022,0.7897,0.2103,0.0599,0.6787,0.11,0.2015,2347,36849,146043,1111
0.023,0.7969,0.2031,0.0611,0.6683,0.1119,0.1943,2311,35537,147355,1147
0.024,0.8036,0.1964,0.0622,0.6588,0.1137,0.1876,2278,34319,148573,1180
0.025,0.8098,0.1902,0.0632,0.6478,0.1152,0.1815,2240,33204,149688,1218
0.026,0.8159,0.1841,0.0641,0.6353,0.1164,0.1755,2197,32102,150790,1261
0.027,0.8213,0.1787,0.065,0.6264,0.1178,0.1703,2166,31140,151752,1292
0.028,0.8266,0.1734,0.0658,0.6151,0.1189,0.165,2127,30186,152706,1331
0.029,0.832,0.168,0.0668,0.6047,0.1203,0.1597,2091,29211,153681,1367
0.03,0.8371,0.1629,0.068,0.5972,0.1221,0.1547,2065,28297,154595,1393
0.031,0.8417,0.1583,0.0691,0.5894,0.1237,0.1501,2038,27459,155433,1420
0.032,0.8463,0.1537,0.07,0.5801,0.125,0.1457,2006,26644,156248,1452
0.033,0.8503,0.1497,0.0711,0.5735,0.1265,0.1417,1983,25922,156970,1475
0.034,0.8544,0.1456,0.072,0.5651,0.1278,0.1377,1954,25176,157716,1504
0.035,0.8581,0.1419,0.0728,0.5567,0.1288,0.134,1925,24513,158379,1533
0.036,0.862,0.138,0.0738,0.5489,0.1301,0.1303,1898,23827,159065,1560
0.037,0.8655,0.1345,0.0746,0.5405,0.131,0.1268,1869,23199,159693,1589
0.038,0.8691,0.1309,0.0755,0.5327,0.1322,0.1233,1842,22558,160334,1616
0.039,0.8724,0.1276,0.0762,0.5237,0.133,0.1201,1811,21966,160926,1647
0.04,0.8757,0.1243,0.0774,0.5185,0.1347,0.1169,1793,21378,161514,1665
0.041,0.8788,0.1212,0.0781,0.5101,0.1354,0.1139,1764,20828,162064,1694
0.042,0.8818,0.1182,0.0791,0.504,0.1368,0.1109,1743,20286,162606,1715
0.043,0.8847,0.1153,0.0801,0.4977,0.1379,0.1081,1721,19773,163119,1737
0.044,0.8877,0.1123,0.0811,0.491,0.1392,0.1052,1698,19234,163658,1760
0.045,0.8907,0.1093,0.0818,0.4821,0.1399,0.1023,1667,18705,164187,1791
0.046,0.8935,0.1065,0.0823,0.4725,0.1402,0.0996,1634,18213,164679,1824
0.047,0.8961,0.1039,0.0832,0.4659,0.1412,0.097,1611,17748,165144,1847
0.048,0.8985,0.1015,0.0835,0.4569,0.1412,0.0948,1580,17335,165557,1878
0.049,0.9008,0.0992,0.0844,0.4514,0.1423,0.0925,1561,16924,165968,1897
0.05,0.9031,0.0969,0.0854,0.4456,0.1433,0.0903,1541,16513,166379,1917
0.051,0.9054,0.0946,0.086,0.4387,0.1439,0.0881,1517,16116,166776,1941
0.052,0.9074,0.0926,0.0871,0.4346,0.1451,0.0861,1503,15749,167143,1955
0.053,0.9096,0.0904,0.0877,0.4271,0.1455,0.084,1477,15372,167520,1981
0.054,0.9116,0.0884,0.0886,0.4216,0.1464,0.0821,1458,15007,167885,2000
0.055,0.9136,0.0864,0.0894,0.4161,0.1472,0.0802,1439,14659,168233,2019
0.056,0.9154,0.0846,0.0904,0.4124,0.1483,0.0784,1426,14343,168549,2032
0.057,0.9172,0.0828,0.0911,0.4066,0.1489,0.0767,1406,14020,168872,2052
0.058,0.9191,0.0809,0.092,0.4011,0.1497,0.0748,1387,13682,169210,2071
0.059,0.921,0.079,0.0927,0.3944,0.1501,0.073,1364,13355,169537,2094
0.06,0.9228,0.0772,0.0934,0.3884,0.1505,0.0713,1343,13042,169850,2115
0.061,0.9246,0.0754,0.0942,0.3829,0.1512,0.0696,1324,12731,170161,2134
0.062,0.9262,0.0738,0.0953,0.3788,0.1522,0.068,1310,12442,170450,2148
0.063,0.9278,0.0722,0.0964,0.3748,0.1533,0.0664,1296,12150,170742,2162
0.064,0.9296,0.0704,0.098,0.3719,0.1552,0.0647,1286,11833,171059,2172
0.065,0.9312,0.0688,0.0996,0.3693,0.1569,0.0631,1277,11541,171351,2181
0.066,0.9327,0.0673,0.1005,0.3647,0.1576,0.0617,1261,11284,171608,2197
0.067,0.9342,0.0658,0.1023,0.3623,0.1595,0.0602,1253,11001,171891,2205
0.068,0.9358,0.0642,0.1031,0.3569,0.16,0.0587,1234,10733,172159,2224
0.069,0.937,0.063,0.1041,0.3531,0.1608,0.0575,1221,10512,172380,2237
0.07,0.9384,0.0616,0.1047,0.3476,0.1609,0.0562,1202,10278,172614,2256
0.071,0.9395,0.0605,0.1055,0.3438,0.1615,0.0551,1189,10077,172815,2269
0.072,0.9408,0.0592,0.106,0.3383,0.1614,0.054,1170,9870,173022,2288
0.073,0.942,0.058,0.1065,0.3329,0.1614,0.0528,1151,9656,173236,2307
0.074,0.9433,0.0567,0.1076,0.3285,0.1621,0.0515,1136,9422,173470,2322
0.075,0.9445,0.0555,0.1084,0.3239,0.1624,0.0504,1120,9214,173678,2338
0.076,0.9458,0.0542,0.1094,0.3195,0.163,0.0492,1105,8995,173897,2353
0.077,0.9468,0.0532,0.1109,0.3178,0.1644,0.0482,1099,8810,174082,2359
0.078,0.948,0.052,0.1121,0.3143,0.1652,0.0471,1087,8611,174281,2371
0.079,0.9492,0.0508,0.1134,0.3106,0.1661,0.0459,1074,8401,174491,2384
0.08,0.9502,0.0498,0.1143,0.3071,0.1666,0.045,1062,8227,174665,2396
0.081,0.9511,0.0489,0.1152,0.3036,0.167,0.0441,1050,8066,174826,2408
0.082,0.9521,0.0479,0.1163,0.2999,0.1676,0.0431,1037,7883,175009,2421
0.083,0.9531,0.0469,0.1164,0.2938,0.1667,0.0422,1016,7715,175177,2442
0.084,0.9541,0.0459,0.1165,0.2883,0.1659,0.0414,997,7563,175329,2461
0.085,0.9551,0.0449,0.1164,0.282,0.1648,0.0405,975,7399,175493,2483
0.086,0.956,0.044,0.1172,0.2779,0.1649,0.0396,961,7240,175652,2497
0.087,0.9568,0.0432,0.1182,0.275,0.1653,0.0388,951,7094,175798,2507
0.088,0.9576,0.0424,0.1194,0.2727,0.1661,0.038,943,6952,175940,2515
0.089,0.9586,0.0414,0.1204,0.2687,0.1662,0.0371,929,6789,176103,2529
0.09,0.9594,0.0406,0.1211,0.2649,0.1662,0.0363,916,6648,176244,2542
0.091,0.9603,0.0397,0.1225,0.2617,0.1669,0.0355,905,6484,176408,2553
0.092,0.961,0.039,0.1234,0.2591,0.1672,0.0348,896,6364,176528,2562
0.093,0.9619,0.0381,0.1242,0.2551,0.1671,0.034,882,6218,176674,2576
0.094,0.9626,0.0374,0.1257,0.253,0.168,0.0333,875,6086,176806,2583
0.095,0.9634,0.0366,0.1267,0.2499,0.1682,0.0326,864,5954,176938,2594
0.096,0.9642,0.0358,0.1287,0.2484,0.1695,0.0318,859,5817,177075,2599
0.097,0.9649,0.0351,0.1287,0.2435,0.1684,0.0312,842,5699,177193,2616
0.098,0.9654,0.0346,0.1292,0.2409,0.1682,0.0307,833,5615,177277,2625
0.099,0.966,0.034,0.1306,0.2392,0.169,0.0301,827,5504,177388,2631
